Date,Market/Asset,Contract Details,Action (Buy/Sell),Contracts/Size,Entry Price ($),Exit Price ($),Fees ($),Net Profit/Loss ($),Time (ET),Timezone,Datetime Acquired (UTC),Datetime Disposed (UTC),Holding Period,Proceeds ($),Cost Basis incl. Fees ($),Gain/Loss ($),Leg Type,Side Bought,Status,Settlement Result,Order ID
2026-09-08,"Bitcoin 15-minute binary, close 26SEP080400",KXBTC15M-26SEP080400-00,Buy to Open (held to settlement),1.0,0.992,1.0,0.0006,0.0074,03:59:40,EDT,2026-09-08T07:59:40Z,2026-09-08T08:00:20Z,Short-term (under 1 hour),1.0,0.9926,0.0074,ENTRY,,SETTLED,YES,01a08007-a5e0-7c6e-b1f4-43a951e830ad
2026-09-08,"Solana 15-minute binary, close 26SEP080500",KXSOL15M-26SEP080500-00,Buy to Open (held to settlement),1.0,0.979,1.0,0.0015,0.0195,04:59:45,EDT,2026-09-08T08:59:45Z,2026-09-08T09:00:50Z,Short-term (under 1 hour),1.0,0.9805,0.0195,ENTRY,,SETTLED,NO,01a0803e-a7e8-72c0-9820-151e3884d08b
2026-09-08,"Zcash 15-minute binary, close 26SEP080515",KXZEC15M-26SEP080515-15,Buy to Open (held to settlement),1.0,0.947,1.0,0.0036,0.0494,05:14:45,EDT,2026-09-08T09:14:45Z,2026-09-08T09:15:20Z,Short-term (under 1 hour),1.0,0.9506,0.0494,ENTRY,,SETTLED,NO,01a0804c-6388-7ede-9d34-5ff28a4f7db5
2026-09-08,"Bitcoin 15-minute binary, close 26SEP080600",KXBTC15M-26SEP080600-00,Buy to Open (held to settlement),1.0,0.996,1.0,0.0003,0.0037,05:59:40,EDT,2026-09-08T09:59:40Z,2026-09-08T10:00:50Z,Short-term (under 1 hour),1.0,0.9963,0.0037,ENTRY,,SETTLED,YES,01a08075-82e0-7e98-94e5-04048b2fb933
2026-09-08,"NEAR 15-minute binary, close 26SEP080615",KXNEAR15M-26SEP080615-15,Buy to Open (held to settlement),1.0,0.991,1.0,0.0007,0.0083,06:14:48,EDT,2026-09-08T10:14:48Z,2026-09-08T10:15:20Z,Short-term (under 1 hour),1.0,0.9917,0.0083,ENTRY,,SETTLED,NO,01a08083-5dc0-7502-8b0a-b39b95c509d1
2026-09-08,"Hyperliquid 15-minute binary, close 26SEP080630",KXHYPE15M-26SEP080630-30,Buy to Open (held to settlement),1.0,0.993,1.0,0.0005,0.0065,06:29:40,EDT,2026-09-08T10:29:40Z,2026-09-08T10:30:20Z,Short-term (under 1 hour),1.0,0.9935,0.0065,ENTRY,,SETTLED,YES,01a08090-fa20-710e-9ee7-a002631ccef9
2026-09-08,"BNB 15-minute binary, close 26SEP080645",KXBNB15M-26SEP080645-45,Buy to Open (held to settlement),1.0,0.996,1.0,0.0003,0.0037,06:44:40,EDT,2026-09-08T10:44:40Z,2026-09-08T10:45:20Z,Short-term (under 1 hour),1.0,0.9963,0.0037,ENTRY,,SETTLED,NO,01a0809e-b5c0-7a32-9b29-67070ce69ace
2026-09-08,"Bitcoin 15-minute binary, close 26SEP080800",KXBTC15M-26SEP080800-00,Buy to Open (held to settlement),1.0,0.95,1.0,0.0034,0.0466,07:59:41,EDT,2026-09-08T11:59:41Z,2026-09-08T12:00:20Z,Short-term (under 1 hour),1.0,0.9534,0.0466,ENTRY,,SETTLED,NO,01a080e3-63c8-7f3b-a119-11faa8a2c828
2026-09-08,"BNB 15-minute binary, close 26SEP080845",KXBNB15M-26SEP080845-45,Buy to Open (held to settlement),1.0,0.977,1.0,0.0016,0.0214,08:44:40,EDT,2026-09-08T12:44:40Z,2026-09-08T12:45:20Z,Short-term (under 1 hour),1.0,0.9786,0.0214,ENTRY,,SETTLED,YES,01a0810c-92c0-7dad-88be-646ba641705b
2026-09-08,"Dogecoin 15-minute binary, close 26SEP080930",KXDOGE15M-26SEP080930-30,Buy to Open (held to settlement),1.0,0.963,1.0,0.0025,0.0345,09:29:40,EDT,2026-09-08T13:29:40Z,2026-09-08T13:30:20Z,Short-term (under 1 hour),1.0,0.9655,0.0345,ENTRY,,SETTLED,NO,01a08135-c5a0-717f-899a-e222a80005d1
